"","clock_source","vreg_output","clock_freq","power_median"
"1","PLL","scale3",20000000,4.50153350830078
"2","PLL","scale3",64000000,8.44516754150391
"3","PLL","scale1",20000000,5.10387420654297
"4","PLL","scale1",64000000,9.80238914489746
