"","expe_num","clock_source","vreg_output","clock_freq","gp","avg_energy","std_energy","avg_time","std_time",".groups"
"1",8,"PLL","scale1",64000000,"PLL.scale1.64MHz",103.775260416667,0.340690527163103,2.50533333333333,0.00750555349946498,"drop"
"2",20,"PLL","scale1",1000000,"PLL.scale1.1MHz",2101.78274739583,0.239744191003628,165.892666666667,0.0359212100761262,"drop"
"3",24,"PLL","scale3",64000000,"PLL.scale3.64MHz",90.5244140625,0.669168444766128,2.54833333333333,0.0166232768530555,"drop"
"4",28,"PLL","scale3",1000000,"PLL.scale3.1MHz",1948.60416666667,0.524677880179885,168.691666666667,0.0825489753621004,"drop"
